,Site,TempOut,OutHum,DewPt,WindSpeed,WindRun,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,P_GEN,Temp_Pressure_ratio,Humidity_Radiation_ratio
11,YMCA,20.3,58.0,11.7,2,1.0,20.3,19.9,19.9,757.2,0.0,0.0,743.0,31.95,0.359,0.026809297411516112,0.07806191117092867
12,YMCA,20.9,49.0,9.8,2,1.0,20.9,19.9,19.9,757.1,0.0,0.0,879.0,37.8,0.341,0.02760533615110289,0.055745164960182024
13,YMCA,21.3,44.0,8.5,2,1.0,21.3,20.1,20.1,757.2,0.0,0.0,909.0,39.09,0.311,0.028129952456418382,0.0484048404840484
14,YMCA,21.7,47.0,9.9,2,1.0,21.7,20.8,20.8,757.2,0.0,0.0,937.0,40.3,0.298,0.02865821447437929,0.05016008537886873
15,YMCA,21.9,52.0,11.6,2,1.0,21.9,21.3,21.3,757.3,0.0,0.0,973.0,41.84,0.261,0.028918526343589067,0.05344295991778006
16,YMCA,21.9,53.0,11.9,3,1.5,21.9,21.4,21.4,757.3,0.0,0.0,906.0,38.96,0.16,0.028918526343589067,0.05849889624724062
17,YMCA,21.4,54.0,11.7,2,1.0,21.4,20.8,20.8,757.4,0.0,0.0,435.0,18.71,0.224,0.02825455505677317,0.12413793103448276
18,YMCA,22.0,47.0,10.2,3,1.5,22.0,21.2,21.2,757.4,0.0,0.0,920.0,39.57,0.181,0.029046738843411673,0.051086956521739134
19,YMCA,22.3,44.0,9.4,3,1.5,22.3,21.5,21.5,757.5,0.0,0.0,880.0,37.84,0.126,0.02943894389438944,0.05
20,YMCA,21.8,46.0,9.7,3,1.5,21.8,20.9,20.9,757.5,0.0,0.0,834.0,35.87,0.066,0.02877887788778878,0.05515587529976019
21,YMCA,21.3,49.0,10.2,3,1.5,21.3,20.4,20.4,757.8,0.0,0.0,776.0,33.37,0.016,0.028107680126682504,0.06314432989690721
22,YMCA,21.1,51.0,10.5,2,1.0,21.1,20.2,20.2,757.8,0.0,0.0,710.0,30.53,0.011,0.027843758247558727,0.07183098591549296
23,YMCA,20.1,50.0,9.4,4,2.0,20.1,19.4,19.4,758.1,0.0,0.0,638.0,27.44,0.009,0.026513652552433715,0.07836990595611286
24,YMCA,20.0,51.0,9.6,3,1.5,20.0,19.3,19.3,758.3,0.0,0.0,556.0,23.91,0.007,0.02637478570486615,0.09172661870503597
25,YMCA,19.8,51.0,9.3,3,1.5,19.8,19.1,19.1,758.4,0.0,0.0,475.0,20.43,0.006,0.02610759493670886,0.10736842105263159
26,YMCA,19.2,55.0,10.0,3,1.5,19.2,18.7,18.7,758.6,0.0,0.0,395.0,16.99,0.005,0.025309781175850248,0.13924050632911392
27,YMCA,18.9,52.0,8.8,2,1.0,18.9,18.1,18.1,758.9,0.0,0.0,314.0,13.5,0.003,0.02490446699169851,0.16560509554140126
28,YMCA,18.1,56.0,9.2,3,1.5,18.1,17.4,17.4,759.0,0.0,0.0,217.0,9.33,0.0,0.023847167325428197,0.25806451612903225
29,YMCA,11.1,92.0,9.9,0,0.0,11.1,11.2,11.2,762.1,0.0,0.0,5.0,0.22,0.003,0.014565017714210732,18.4
30,YMCA,11.2,92.0,10.0,0,0.0,11.2,11.3,11.3,762.5,0.0,0.0,16.0,0.69,0.02,0.014688524590163933,5.75
31,YMCA,11.7,92.0,10.5,1,0.5,11.7,11.8,11.8,762.7,0.0,0.0,26.0,1.12,0.037,0.015340238625934179,3.5384615384615383
32,YMCA,11.9,91.0,10.5,0,0.0,11.9,12.0,12.0,762.9,0.0,0.0,57.0,2.45,0.042,0.015598374623148514,1.5964912280701755
33,YMCA,12.1,91.0,10.6,1,0.5,12.1,12.1,12.1,763.1,0.0,0.0,104.0,4.47,0.093,0.015856375311230506,0.875
34,YMCA,12.7,89.0,10.9,1,0.5,12.7,12.7,12.7,763.2,0.0,0.0,139.0,5.98,0.276,0.016640461215932913,0.6402877697841727
35,YMCA,14.2,85.0,11.7,0,0.0,14.2,14.1,14.1,763.2,0.0,0.0,261.0,11.22,0.312,0.01860587002096436,0.32567049808429116
36,YMCA,15.1,80.0,11.7,1,0.5,15.1,15.0,15.0,763.2,0.0,0.0,481.0,20.69,0.325,0.019785115303983226,0.16632016632016633
37,YMCA,16.0,77.0,12.0,1,0.5,16.0,15.9,15.9,763.1,0.0,0.0,567.0,24.38,0.358,0.020967107849561,0.13580246913580246
38,YMCA,17.0,71.0,11.7,1,0.5,17.0,16.8,16.8,763.1,0.0,0.0,595.0,25.59,0.35,0.022277552090158564,0.11932773109243698
