,Power
12173,6672.0
9483,7536.0
11311,8272.0
17205,160.0
3246,9280.0
4607,0.0
16474,0.0
10512,0.0
11962,0.0
7235,4352.0
1390,0.0
11748,912.0
15128,0.0
12334,0.0
7406,1168.0
16470,0.0
12183,0.0
6910,0.0
15672,432.0
9894,0.0
11896,0.0
3888,0.0
4127,0.0
1169,152.0
16881,304.0
13593,0.0
7894,9520.0
6975,2528.0
1022,0.0
11879,4160.0
8205,0.0
6264,9712.0
4845,0.0
12578,0.0
794,4856.0
12981,4640.0
9700,0.0
752,4496.0
14416,192.0
14552,0.0
12530,0.0
7649,4880.0
13062,0.0
12974,128.0
4472,0.0
8255,0.0
15883,0.0
17211,432.0
6428,0.0
2546,0.0
16248,368.0
9672,6624.0
8775,336.0
9475,8000.0
8543,0.0
16882,96.0
15162,0.0
7480,0.0
9680,3088.0
16641,1104.0
16274,0.0
8223,2416.0
15140,304.0
9674,6896.0
1997,1504.0
12950,0.0
1847,344.0
7329,6592.0
7546,0.0
1160,0.0
12496,1248.0
3084,0.0
10792,0.0
5537,4144.0
6424,0.0
12206,112.0
4853,0.0
14431,3680.0
13093,16.0
16490,7616.0
15248,3632.0
2025,0.0
8606,288.0
5391,2272.0
8756,6976.0
17520,0.0
10717,160.0
8331,8592.0
15257,0.0
9921,6288.0
13077,2560.0
11302,2576.0
17076,0.0
3772,3984.0
6065,1712.0
11837,4160.0
5849,0.0
7183,7264.0
15367,0.0
13551,400.0
4367,0.0
3195,10176.0
10661,0.0
2878,0.0
726,0.0
5421,0.0
3453,0.0
4363,0.0
13547,0.0
9531,1568.0
9212,0.0
4248,10112.0
9898,0.0
17451,7824.0
3132,0.0
9297,3552.0
7419,10032.0
12796,3104.0
3630,1664.0
8520,9904.0
2823,0.0
2383,7936.0
11134,0.0
12919,0.0
15272,0.0
5053,80.0
1692,0.0
8933,0.0
5476,0.0
4205,5616.0
10586,7744.0
17324,0.0
6187,0.0
14809,8832.0
16011,3120.0
15208,0.0
11249,1872.0
4956,0.0
9021,0.0
3030,0.0
10249,9712.0
8855,9808.0
5644,10096.0
15346,688.0
6360,7040.0
542,0.0
